Date,Best Fit seed=418 OM=139.57675285370735 PM=124.06218029265614 TM=143.3690494680804 
2015-01-02,40.15247344970703
2015-01-05,39.189073599251564
2015-01-06,38.617522833025134
2015-01-07,38.63822017760756
2015-01-08,38.82672602500938
2015-01-09,38.367886106086154
2015-01-12,38.41272429801127
2015-01-13,36.97931957147389
2015-01-14,38.63452920238433
2015-01-15,38.31608503514547
2015-01-16,39.19540895435986
2015-01-20,39.03641851622674
2015-01-21,38.00736962120869
2015-01-22,36.7996977029048
2015-01-23,37.18758353991203
2015-01-26,37.457109589591575
2015-01-27,37.26345523423192
2015-01-28,37.572596098213225
2015-01-29,34.91702511129953
2015-01-30,36.141384800314725
2015-02-02,36.27171059334311
2015-02-03,35.963421904456595
2015-02-04,35.4091778158227
2015-02-05,34.27265700324417
2015-02-06,33.502577962239904
2015-02-09,34.93511788642207
2015-02-10,35.931135228451495
2015-02-11,35.63888435627876
2015-02-12,36.29373181553126
2015-02-13,35.207937749321786
2015-02-17,34.013864551599
2015-02-18,35.43451014418756
2015-02-19,36.26397395927377
2015-02-20,35.501533699216814
2015-02-23,34.974082085362554
2015-02-24,36.12567268544282
2015-02-25,36.43609478539358
2015-02-26,34.80091094861815
2015-02-27,35.60678528865328
2015-03-02,36.07348965289379
2015-03-03,37.65541913710466
2015-03-04,36.76368928082918
2015-03-05,36.598932212627794
2015-03-06,36.30090793976836
2015-03-09,36.66871662222551
2015-03-10,36.62025108448025
2015-03-11,36.94373861610678
2015-03-12,36.74492667146805
2015-03-13,36.97970758629872
2015-03-16,37.56135033711669
2015-03-17,37.55146696483155
2015-03-18,38.48788482820199
2015-03-19,38.54899901399316
2015-03-20,39.865853387540305
2015-03-23,39.215521321994146
2015-03-24,38.03664340595538
2015-03-25,39.89716932267994
2015-03-26,39.22432784056009
2015-03-27,41.03190193677427
2015-03-30,39.69461710913363
2015-03-31,40.262195502843205
2015-04-01,39.47228288219538
2015-04-02,40.3617641863198
2015-04-06,39.13618391722484
2015-04-07,40.20624746946622
2015-04-08,39.973296507596196
2015-04-09,41.10457935700529
2015-04-10,42.107598715425375
2015-04-13,42.53919359515212
2015-04-14,41.0331996617916
2015-04-15,40.46502218585262
2015-04-16,41.02390825992411
2015-04-17,41.34474022880071
2015-04-20,40.7604505575485
2015-04-21,41.173462580725825
2015-04-22,40.59078804068937
2015-04-23,39.61257233060266
2015-04-24,40.78106656574772
2015-04-27,38.92694274572185
2015-04-28,39.49885495286541
2015-04-29,38.87615569484972
2015-04-30,39.330433365262806
2015-05-01,40.123579265664524
2015-05-04,39.91109370064159
2015-05-05,40.10335583566972
2015-05-06,39.075831938535565
2015-05-07,39.0102964749419
2015-05-08,38.42400985592963
2015-05-11,37.21817779802663
2015-05-12,36.71201105520038
2015-05-13,36.277337948397665
2015-05-14,35.23198305927737
2015-05-15,35.05884505110199
2015-05-18,34.21283546399273
2015-05-19,35.781370637106924
2015-05-20,36.26118582352902
2015-05-21,35.46605003006839
2015-05-22,37.36341990974516
2015-05-26,37.93051133810696
2015-05-27,38.57350381134729
2015-05-28,37.77194302078874
2015-05-29,38.56893089810947
2015-06-01,38.55897833212419
2015-06-02,39.18944160180755
2015-06-03,40.387030655386845
2015-06-04,40.80562311681189
2015-06-05,40.00956256669867
2015-06-08,39.475451708634964
2015-06-09,39.54749424749825
2015-06-10,38.45689691386151
2015-06-11,38.849001597753166
2015-06-12,39.97873303976801
2015-06-15,40.74755445311112
2015-06-16,40.38014184732735
2015-06-17,40.63859979246703
2015-06-18,41.12374912545206
2015-06-19,38.83179710793526
2015-06-22,38.265768113827974
2015-06-23,38.41708682038051
2015-06-24,39.45590824889705
2015-06-25,38.973373953257806
2015-06-26,37.946459000244225
2015-06-29,37.74243779464871
2015-06-30,36.90531314430613
2015-07-01,37.98802675523348
2015-07-02,37.88170754221296
2015-07-06,39.224959885282686
2015-07-07,41.58078218613206
2015-07-08,42.385203878027184
2015-07-09,41.68818017075599
2015-07-10,41.914450225020175
2015-07-13,41.5092706016569
2015-07-14,41.57731706633721
2015-07-15,42.212779998801416
2015-07-16,42.83051019142731
2015-07-17,42.92543792994051
2015-07-20,40.88530568092774
2015-07-21,39.91861090964984
2015-07-22,41.11577522528711
2015-07-23,40.89002915456607
2015-07-24,41.09204902332861
2015-07-27,40.730703852093825
2015-07-28,40.38141318417952
2015-07-29,41.27240847897155
2015-07-30,40.26138349441013
2015-07-31,40.742101025578634
2015-08-03,40.538063597565696
2015-08-04,40.694561902538055
2015-08-05,39.635781297788384
2015-08-06,40.285771384086225
2015-08-07,39.589784076991286
2015-08-10,40.00820001098573
2015-08-11,39.33231247206982
2015-08-12,37.75116383429523
2015-08-13,39.203168557426345
2015-08-14,39.20495464848638
2015-08-17,38.27487501839487
2015-08-18,40.279009159740546
2015-08-19,39.76114578476585
2015-08-20,39.66665211111483
2015-08-21,40.24002801871438
2015-08-24,39.75998396987996
2015-08-25,40.453327342301016
2015-08-26,41.55654032515259
2015-08-27,42.73876397294426
2015-08-28,42.75006857309522
2015-08-31,42.601786132139736
2015-09-01,42.50862878391725
2015-09-02,42.08882268001594
2015-09-03,40.300358982862356
2015-09-04,40.07595760529787
2015-09-08,41.3749471774952
2015-09-09,41.10971593616279
2015-09-10,42.325442773629916
2015-09-11,42.762836038179856
2015-09-14,41.467637000795335
2015-09-15,41.20482371005547
2015-09-16,40.52171654614263
2015-09-17,38.92436682178906
2015-09-18,37.78365344880515
2015-09-21,37.624093249614454
2015-09-22,38.674633693074384
2015-09-23,39.344433362781295
